date,tracker_id,tracker_name,metric_name,option_index,polarity,weight,value
2019-01-06,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,3.7
2019-01-06,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.28
2019-01-07,1,National Issues,Corruption,0,-1.0,1.0,10.03
2019-01-07,1,National Issues,Unemployment,1,-1.0,1.5,28.9
2019-01-07,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.09
2019-01-07,1,National Issues,Rising Prices,3,-1.0,1.5,8.18
2019-01-07,1,National Issues,Electricity Road Water,4,-1.0,0.8,4.53
2019-01-07,1,National Issues,Terror Attacks,5,1.0,0.9,2.69
2019-01-07,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-07,1,National Issues,Other Issues,7,0.0,0.0,28.18
2019-01-07,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,8.4
2019-01-07,2,Quality of Life Index,Improved,0,1.0,1.3,39.32
2019-01-07,2,Quality of Life Index,Remained the same,1,0.0,0.2,31.08
2019-01-07,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,27.6
2019-01-07,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,2.0
2019-01-07,5,Index of Optimism,Will Improve,0,1.0,1.5,53.27
2019-01-07,5,Index of Optimism,Will remain the same,1,0.0,0.2,11.28
2019-01-07,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,9.91
2019-01-07,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,25.54
2019-01-07,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,12.99
2019-01-07,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,58.7
2019-01-07,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.68
2019-01-07,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,18.97
2019-01-07,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,4.66
2019-01-07,7,Media Usage,TV news channels,0,0.0,0.0,53.44
2019-01-07,7,Media Usage,Radio,1,0.0,0.0,1.62
2019-01-07,7,Media Usage,Newspapers,2,0.0,0.0,13.07
2019-01-07,7,Media Usage,News magazines,3,0.0,0.0,0.13
2019-01-07,7,Media Usage,Internet / social media,4,0.0,0.0,24.9
2019-01-07,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.33
2019-01-07,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,3.33
2019-01-07,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.27
2019-01-08,1,National Issues,Corruption,0,-1.0,1.0,10.08
2019-01-08,1,National Issues,Unemployment,1,-1.0,1.5,28.95
2019-01-08,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.4
2019-01-08,1,National Issues,Rising Prices,3,-1.0,1.5,7.55
2019-01-08,1,National Issues,Electricity Road Water,4,-1.0,0.8,5.08
2019-01-08,1,National Issues,Terror Attacks,5,1.0,0.9,2.51
2019-01-08,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-08,1,National Issues,Other Issues,7,0.0,0.0,28.38
2019-01-08,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,8.05
2019-01-08,2,Quality of Life Index,Improved,0,1.0,1.3,39.31
2019-01-08,2,Quality of Life Index,Remained the same,1,0.0,0.2,31.41
2019-01-08,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,27.55
2019-01-08,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.73
2019-01-08,5,Index of Optimism,Will Improve,0,1.0,1.5,52.93
2019-01-08,5,Index of Optimism,Will remain the same,1,0.0,0.2,11.62
2019-01-08,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,10.08
2019-01-08,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,25.37
2019-01-08,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,13.01
2019-01-08,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,57.41
2019-01-08,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.65
2019-01-08,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,20.41
2019-01-08,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,4.52
2019-01-08,7,Media Usage,TV news channels,0,0.0,0.0,53.84
2019-01-08,7,Media Usage,Radio,1,0.0,0.0,1.81
2019-01-08,7,Media Usage,Newspapers,2,0.0,0.0,12.63
2019-01-08,7,Media Usage,News magazines,3,0.0,0.0,0.15
2019-01-08,7,Media Usage,Internet / social media,4,0.0,0.0,25.04
2019-01-08,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.25
2019-01-08,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,2.77
2019-01-08,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.39
2019-01-09,1,National Issues,Corruption,0,-1.0,1.0,10.4
2019-01-09,1,National Issues,Unemployment,1,-1.0,1.5,28.65
2019-01-09,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.41
2019-01-09,1,National Issues,Rising Prices,3,-1.0,1.5,7.72
2019-01-09,1,National Issues,Electricity Road Water,4,-1.0,0.8,5.19
2019-01-09,1,National Issues,Terror Attacks,5,1.0,0.9,2.46
2019-01-09,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-09,1,National Issues,Other Issues,7,0.0,0.0,28.42
2019-01-09,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,7.75
2019-01-09,2,Quality of Life Index,Improved,0,1.0,1.3,39.04
2019-01-09,2,Quality of Life Index,Remained the same,1,0.0,0.2,31.1
2019-01-09,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,28.49
2019-01-09,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.37
2019-01-09,5,Index of Optimism,Will Improve,0,1.0,1.5,53.6
2019-01-09,5,Index of Optimism,Will remain the same,1,0.0,0.2,11.31
2019-01-09,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,9.63
2019-01-09,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,25.46
2019-01-09,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,12.65
2019-01-09,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,57.71
2019-01-09,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.8
2019-01-09,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,20.48
