date,Deteriorated,Don't Know/Can't Say,Improved,Remained the same
2019-11-02,29.8,0.59,35.07,34.54
2019-11-03,29.28,0.55,35.84,34.33
2019-11-04,28.95,0.48,35.87,34.7
2019-11-05,28.63,0.43,35.88,35.06
2019-11-06,28.96,0.41,36.49,34.14
2019-11-07,29.12,0.4,36.76,33.72
2019-11-08,29.65,0.44,36.25,33.66
2019-11-09,30.27,0.46,36.49,32.78
2019-11-10,30.25,0.45,36.9,32.4
2019-11-11,29.96,0.49,37.28,32.27
2019-11-12,30.11,0.51,37.17,32.21
2019-11-13,30.4,0.5,36.99,32.11
2019-11-14,30.81,0.39,37.07,31.73
2019-11-15,31.25,0.44,36.76,31.55
2019-11-16,30.77,0.43,36.79,32.01
2019-11-17,30.69,0.42,36.79,32.1
2019-11-18,31.16,0.44,36.44,31.96
2019-11-19,31.26,0.48,36.58,31.68
2019-11-20,31.42,0.43,36.58,31.57
2019-11-21,31.81,0.45,36.62,31.12
2019-11-22,31.33,0.49,37.26,30.92
2019-11-23,31.55,0.5,37.33,30.62
2019-11-24,31.69,0.51,37.52,30.28
2019-11-25,31.22,0.43,37.83,30.52
2019-11-26,31.15,0.46,38.12,30.27
2019-11-27,30.88,0.43,38.25,30.44
2019-11-28,30.21,0.47,38.82,30.5
2019-11-29,30.3,0.45,39.16,30.09
2019-11-30,30.43,0.43,38.99,30.15
2019-12-01,30.08,0.44,38.91,30.57
2019-12-02,29.74,0.4,38.32,31.54
2019-12-03,29.95,0.43,38.4,31.22
2019-12-04,29.9,0.4,38.49,31.21
2019-12-05,29.88,0.42,38.32,31.38
2019-12-06,30.94,0.41,37.6,31.05
2019-12-07,31.05,0.44,37.75,30.76
2019-12-08,30.92,0.43,37.64,31.01
2019-12-09,30.59,0.49,37.41,31.51
2019-12-10,31.19,0.45,37.47,30.89
2019-12-11,31.58,0.43,37.33,30.66
2019-12-12,31.82,0.47,37.33,30.38
2019-12-13,31.77,0.43,37.59,30.21
2019-12-14,32.23,0.39,37.44,29.94
2019-12-15,32.14,0.44,36.86,30.56
2019-12-16,31.91,0.48,36.75,30.86
2019-12-17,32.12,0.48,36.24,31.16
2019-12-18,32.0,0.48,36.21,31.31
2019-12-19,32.18,0.49,36.39,30.94
2019-12-20,31.77,0.53,36.78,30.92
2019-12-21,31.11,0.49,37.15,31.25
2019-12-22,31.59,0.48,37.13,30.8
2019-12-23,32.17,0.48,36.74,30.61
2019-12-24,31.6,0.44,36.82,31.14
2019-12-25,31.39,0.43,37.37,30.81
2019-12-26,30.89,0.46,37.75,30.9
2019-12-27,29.48,0.44,38.28,31.8
2019-12-28,29.29,0.45,38.51,31.75
2019-12-29,29.47,0.54,38.45,31.54
2019-12-30,29.22,0.55,38.29,31.94
2019-12-31,28.74,0.62,38.36,32.28
2020-01-01,29.02,0.6,37.79,32.59
2020-01-02,29.25,0.63,37.64,32.48
2020-01-03,29.17,0.59,37.98,32.26
2020-01-04,28.93,0.62,37.6,32.85
2020-01-05,29.28,0.62,37.02,33.08
